artist,song,year,i_AR,i_MO,i_DI,i_PO,i_NA,i_GO,IIA_global
Bad Bunny,Dtmf,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,El Clúb,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Eoo,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Estamos Bien,2021,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.27777777777777773
Bad Bunny,Ketu Tecré,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,La Canción,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,La Mudanza,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Pitorro De Coco,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Si Estuviésemos Juntos,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Sorry Papi,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Soy Peor,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Veldá,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Voy A Llevarte Pa Pr,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Yo Perreo Sola,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bad Bunny,Yo Visto Así,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banda El Recodo,Clave Privada,2002,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333
Banda Machos,Fuera De La Ley,2008,0.36363636363636365,0.0,0.0,0.0,0.0,0.9090909090909091,0.2121212121212121
Banda Machos,Los Dos Zacatecanos,2000,0.0,0.0,0.0,0.0,0.25,0.0,0.041666666666666664
Banda Machos,Pacas De A Kilo,2000,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.027777777777777776
Banda Machos,Traficantes Michoacanos,2000,0.0,0.0,0.0,0.4,0.4,0.0,0.13333333333333333
